Reviewer,Review,Review Score,Review Like,Review date
blitzkrieg-79640,"I expected to hate this... I expected to hate this, but De Niro is my favourite actor so I figured I'd give it a go.

I can't stand schmaltz. Can't stand jazz, soppy stories with light comedy moments, anything about New York, anything involving trendy hipsters or precocious but cute kids... and I've always thought Anne Hathaway was overrated.

Yet here I am, admitting I thoroughly enjoyed this film. Ms Hathaway was wonderfully convincing in the role. The story was wholesome (albeit with some unnecessary swearing in one instance, which soured it slightly), poignant and entertaining. And believable. The story reflects the reality of our age, and the roles we're assigned by society. It deals really well with the image of women as powerful figures, and with age-related perceptions.

The biggest let-down (only in my opinion, obviously) was from Mr De Niro. His acting in The Mission remains one of the best performances I have watched to date, but I think maybe he should choose his comedy roles more carefully.", 4/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8 February 2021
izmsyoko,"One 70 year old man visits a young lady who is a president of Internet shopping company to work. His honest and sincere behavior changes the company gradually. I like this movie. This story is suits modern world. Japan is aging society, so many people may sympathize with this story and this story may reflect modern social problem. I can receive the message that it is not too late to begin something even if you are 70 years old. I can have courage when I finish watching this movie.

The character of one 70 year old man and a young lady who is a president of Internet shopping company is really good. The elderly man plays an important rule to the lady overcome difficulties. The performance of the actor and actress is also good.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 5/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10 August 2017
sionetupou-25970,"Its ok and heartwarming. Love me some Robert De Niro and Anne Hathaway. A comedy/drama with those two that touch on 2 different generational perspectives is interesting to me.

However the movie ended abruptly for me. Their drama felt intriguing though fleeting and sometimes forced/cringe (like the masseuse). It also feels like a flawless character Ben walks into Jules life and somewhat fixes everything about her and her situations. I was hoping for a deeper dive and clash between the two different generations (also no pushback when Jules gets drunk and dunks on the boys)

Either all its inoffensive and a fine family movie for all. Roberts character ""Ben"" inspired me to always carry a hanker-chief which is a weird take away for me.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",28 November 2022
anniekycek,Loved until the last 5 minutes!!!!! Absolutely loved most all of this except for the ending!!!! Really she's that big of a feminist and she goes back to her cheating husband??? Sorry I'm angry, 5/10,"1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",23 October 2020
Load_94,"Ligeiramente bom Nessa analise me baseei em 5 importantes pontos: Enredo, desenvolvimento, personagens, estética e entretenimento.

Enredo: 1/2.

Desenvolvimento: 0/2.

Estética: 2/2.

Personagens: 2/2.

Entretenimento: 2/2.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",19 February 2022
alcanindita,"Feel Good Movie Love. Love. Love this movie. Boy! De Nero is AMAZING. Never looked cuter i guess. Anne Hethay is sweet as sugar. Such a feel good one. Why don't they make more movies like this.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 6/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",15 June 2021
oh_stranger_oh,"Oldies are goldies A lazy Saturday night with nothing to do, with a box of popcorn and cappuccino, ideal way to watch the movie 'The Intern'.

Never liked Anne Hathaway, never will like her probably. She and her fashion diva type role really sucks. And I can never dislike Robert De Niro. So basically this movie is about my most liked actor and most disliked actress.

To be honest the day was saved by De Niro and Rene Russo, who by the still looks stunning even in her 60's. They kept the movie going till the end and actually created some genuine laughs.

The movie is the same old concept of old people catching up with new generation including the idea of stay at home husband to opening an account in Facebook. While the younger generation is learning about gentleman-ship and Chivalry.Nothing new to offer really

So if you are a fan of feel-good flicks, this might be your cup of tea.", 8/10,"0 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10 October 2015
stevecagneyfan,"Enjoyable movie Recently saw this for the first time.

Directed by Nancy Meyer (who also directed The Holiday (2006) which I have seen many times).

This is a very good film with nice story about a 70 year old intern & brings humor to the role.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 2/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",15 March 2022
kb-30236,"Enjoyable Movie Quite surprised with De Niro's performance next to Hathaway. I found this movie to be entertaining even though I found the plot to be somewhat unbelievable.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 6/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",30 June 2021
rakeshshetty,"Do not miss this one... As someone in your sixites, your first instinct to a 30 something giving an advice is, 'Really, you've the audacity?' So when I watched Robert De Niro as Ben Whittaker trying to make himself useful as an intern at About The Fit, a startup sensation, an ecommerce company founded by Jules (Anne Hathway), by helping the delivery lady, by coming in at 7am to clear a table that was unofficially the dustbin of the office and to take Jules' blazer to laundry when she stains it, I knew this was a very interesting character in the making. But, all Ben was doing was showing you the dignity of labour and how you could totally connect to people two generations after you by just being calm and helpful.

The Intern is not a preachy movie and it is not about how a 70 year old chivalrous gentleman comes and fixes the problems in the life of Jules. In fact, he does nothing of that sort and the movie, pretty much ends where it begins, with Jules continuing to be the same driven, passionate person who would go to the warehouse and tell her workers how to pack deliveries when clothes were ordered.

The movie is not about one person saving the day for another person. It is about how small things in our everyday life could be fixed with good attitude and good humour and Ben personifies the guy who doesn't take offense at anything, loves his work (which is why he returns as an intern to a company now running in a remodelled version of his old workplace - a nice touch to the story). Ben is a great guy who tries to look like the guy next door and it helps that he teaches mannerisms like carrying a handkerchief on you so you could offer it when some lady is crying. From start to finish, the movie shows you how the big problems are rarely about the big problems. There is a lesson here for all of us, Look at your elders and learn from them as the movie tagline says ""Experience never gets old""

Well the movie does have its own flaws but who am I not a critic, just a fan. Give the movie a chance, will ya?", 8/10,"1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",29 September 2015
memayrinck,"A gem This is a very surprising film. I thought I was hound to be nothing but as always, as always, nothing becomes something when you put it in Robert De Niro's hand. Is there anything this man can't do? Really, from jimmy conway to a retired widower restarting life as an intern. What a gem. And never do you feel sorry for him, há doesn't act like a victim, there's no putty party, he takes it as it comes and does the best out of every situation. A bit sappy but wouldn't we all be better people if we could do the same? The supporting cast is great, I consider Anne Hathaway supporting in this, because it is Mr. De Niro's delightful, intelligent and never ""hamming it up"" performance that makes this nothing into something great. Highly recommend. Keep an eye on him. He never over plays it. What a gentleman.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",4 April 2020
thejasvi,"On of the best feel good movies for some time. Very rarely do I want a film to be a good hour or two longer, I could spend a whole season and more with Ben and Jules. On the surface it looks like this is going to be an odd romcom vehicle for Hathaway and Dr Niro, but don't let that notion put you off, mainly because it isn't really a romcom, yes there are romances in the film, and this really isn't a spoiler, but ultimately it's a film about a man and woman becoming friends, which is kind of a rare thing in a big budget Hollywood film.

Like many others, I find something kind of annoying about Anne Hathaway, but this was by far my favorite performance from her, I actually started to really like her in this, she was cast perfectly, as was De Niro, the film is a nice reminder of just how strong a character actor he can be and why he's regarded as the best, and Myers has probably created literally the most like-able character ever with Ben, if you don't fall in love with him, then you're a straight up monster.

For me The Intern is a near perfect film, I rarely give 10/10 to anything. Yes it may not be groundbreaking, but in some ways the film is, it eschews the typical expectations from a big budget film like this, and I think only someone like Myers is in a position to do a film like this. At the end of the day, it's literally what a feel good film is, you like all the characters, there isn't a typical antagonist, at least not in human form.

The only real criticism I can give is the casting of Anders Holm, who is a fine dramatic and comedic actor, that anyone who watches Workaholics will adore, but something just didn't feel right with his casting here, maybe it's just that I don't buy him and Anne Hathaway together, despite the fact he kind of looks like her real life husband. It's a slight mis-step to me, and maybe he wasn't the first choice, maybe he got the role after Adam Devine got cast, or vice versa. But it's a very small criticism, because he does the role well, and it hardly detracts from the film as a whole.

Get a bottle of wine, and enjoy!", 7/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",31 May 2016
huseyinmiroglu,"Overrated! It is completely overrated. There is nothing to watch this movie.
1 out of 4 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"1 out of 4 found this helpful. Was this review helpful? Sign in to vote.
Permalink",18 January 2021
makeweight,"Tries to do too much and fails A film that is trying to tell too many stories simultaneously, with the result that none is properly explored, or worse, really makes us care about that much. This is a movie about a retired widower coming back to work as an intern in a hip fashion house and the comedy that arises from his old-school low-tech been-there approach to life and the web-wise younger generation colleagues who think they know it all but really have a lot to learn. And, it's a movie about a woman who's built up from scratch a really successful company but is struggling to create the right balance between work and family, her one-time high-flyer house- husband is playing around, her business funders are concerned about the company's rapid pace of growth, and she's considering big conflict choices between what's best for the business and what's best for the family. It's a film about trust, and the need we all have for someone to whom we can open our hearts, on whom we can lean and depend with total confidence that they will never let us down. And it's a film about love and loss and forgiveness and loving again. Yes, it's all of these things and more, and yet not one of them really takes centre stage, the characters never grow credible in any of these scenarios and plot lines; the whole thing is a jumble.

And it's riddled with absurdities and clichés that remove any hope of believability or realism. Surprise surprise, this hip company turns out to occupy part of the exact same office building that Robert De Niro once used to work in. Coincidence, eh? The ""reward"" massage that first introduces the Rene Russo character to Robert De Niro is, depending on your point of view, either offensive (male teenage fantasies aside, just imagine if the genders were reversed) or totally implausible. The cheating husband is both a casting bloomer and an almost wholly unbelievable character all the way through. The heart-to-heart chat in the hotel room after the fire - so clunky it really struggles. And the ""funders want to bring in a CEO"" plot device! I mean, is there anyone who knows a thing about business who wasn't shouting ""a COO, not a CEO, a COO is what you need"" at the screen?

Could have been great, but really trying to do far too much. And failing.", 6/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2 February 2017
modironak,"Feel Good Factor !! After a long time I saw a movie which is so positive and encourages you to try and materialize your dreams. You have to always keep that hunger for learning alive in you no matter whatever stage you have reached in your life.

During the whole movie I felt so happy and was grinning all the time. Robert De Niro stole the show for me. He looks so genuine and still smart at this age wearing the suits for work which has a start up culture (This makes me realize that Suits always enhance your personality and add a class to your personality). Story Telling and Direction is good and it never bores for a minute.

I would recommend to try this movie as it adds little bit of positive attitude in your life no matter whoever you are.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",19 April 2016
Amazorg,"Sweet movie with a crucial fault. Since most of the reviews I've seen takes care of the plot, I think I'll have a stand alone opinion in what is wrong in this otherwise super cute movie.

When you use an actor like Anne Hathaway. I mean, maybe one of the most beautiful actresses there is. Alright we know we shouldn't judge by how people look, I am going to do it anyway. Because there is a glaring difference between Jules and her husband, as much as it isn't believable. Alright, people can have their charm, but to have that charm you need to sell it. He didn't sell it at all, I never found him charming or warm, or had any sort of relationship with her. He also cheated on her, which is in fact for many men and women out there is not forgivable. Yet she forgave him for sleeping with some parent in their kid's school within 90 seconds of his pathetic excuse of an apology.

We as viewers don't know this man, all we know he isn't good looking, he cheats, lies, go out of his way to have an affair. How am I as a viewer accept his apology and for her to accept it so easily? We can't! We don't know this man, what makes him special? It is a base for a good story. Sadly the writers got too lazy at the end. 5/10 for ruining something that could be forgiven, if written well.", 5/10,"1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",18 October 2020
channellius,"Charming I didn't have high expectations for this film, but I was pretty surprised at how much I enjoyed it. Even though it deals with a lot of modern-day ideologies and so on, it wasn't painful or cringy, in my opinion. Great movie!
0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",7 January 2019
samzzz-69448,"Good on first viewing, but is somewhat predictable The Intern is one of director Nancy Myers' better works in the genre, although not the best. It has its moments of bitter heartbreak, internal conflict, and fairy tale ending, but literally none of these evolve around the title character, but the intern's young female boss, played by Anne Hathaway. If you like her, or appreciate her performance, then you'll like enjoy this film, and vice versa. These emotions ultimately fall just short of inspiring, which is a shame. With more character development and a less predictable plot, perhaps it could have been even better. (Although its reception and box office numbers are still very respectable as things stand).

I imagine Robert De Niro's character was intentionally designed to stick as close to the wise old man/sweet father-figure stereotype as possible, and in De Niro's case with a perma-smile, and it works in this film most of the time.

However, this is also my biggest disappointment with The Intern. De Niro's character is inherently limited for the same reason that it works in the way it does. There is no character arc whatsoever for him in this film. Rene Russo aka his newfound love technically doesn't count, since this little romance subplot was as artificially inserted as they come, and could be seen coming by anyone familiar with the genre from miles away.

De Niro started the movie bored with retirement (this boredom not represented in any meaningful way), and he sees an opportunity to work in a new internet company which happens to be located in the same building where he spent his entire working career (little secret revealed halfway through with no consequence). De Niro's character finishes the movie with a girlfriend (Russo), a new close friend/boss (Hathaway), but how is he a different man than when he started? How is he changed? What has he gone through? Next to none.

One moment provides a glimmer of hope as De Niro and Hathaway engage in a heartfelt exchange in the hotel room on Hathaway's marital situation, a conversation which makes it plain obvious to the audience that we are at least halfway through Act III now, with one big resolution coming up soon to end the story. Disappointingly, Hathaway's crisis practically solves itself in no time (the cheating Hubby confesses his wrongdoing and begs for a second chance, which Hathaway happily accepts, thus giving the happy ending the filmmakers want to give us in a very rushed manner), De Niro is then back to showing the young-lings the wisdoms of life, teaching tai-chi to his boss who has just gone through a private nirvana and was born again. De Niro is the same man in everyway throughout the film.

My other complaint is that the plot twists are all too predictable, or perhaps it's just that I've seen too many similar films and all the usual premises have been done to death in them. The big reveal at the end of Act 1? Turns out the senior intern has a history with the building. The intern is unwanted by the boss, but gradually transforms her opinion of him, even becomes a part of her personal life? This can't be the first film where you've seen a similar plot. The central focus of Act 2? Turns out the boss's home life is far from perfect. How so? A cheating husband, of course. Perhaps I'm complaining too much. Hathaway's performance is stellar, and overall it has been a better than average viewing experience, but I can't see myself wanting to visit this again in future. 6/10 (fresh)", 9/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",23 November 2017
david_a_browne,"Will warm your heart and bring a tear to your eye. Yes, yes, yes, it's not a groundbreaking plot but that doesn't matter - it's wonderfully heartwarming!! This film reminds you of your grandparents, it reminds you older and younger generations can learn from each other. It reminds you, that we all need someone to catch us when we fall, and it does that while warming your heart then bringing a tear to your eye.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",3 July 2020
vitorlimongi,"Boring This movie it is just so boring. Nothing exiting happens! All the characters are not interesting. It's not a disaster or horrible, it's just not interesting.
1 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 6/10,"1 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2 August 2022
JerzeeGerl,"A likable movie if you just don't expect much This is a very likable, cute and ""feel good"" kind of movie. It's entertaining, just don't expect much. It somehow feels like it could have been better, maybe if the script were a little deeper. Also, the character of Matt (Anne Hathaway's husband)- talk about miscast. He's such a dweeb, you can't even imagine that Anne Hathaway's character would ever be attracted to him to begin with, and yet the irony is that..HE is the one having affair. Anyway, I usually find Anne Hathaway fairly annoying, but I liked her in this, and I loved Robert DeNiro's character, which is basically how every character in this movie feels as well. Well maybe except for Linda Lavin's character lol....", 3/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",25 June 2016
sujatasen-99958,"Movie which is more than I expected. This is a movie encircling about a retired 70 year old widower,Ben played by Robert De Niro. He plays the role of a person who has served many years and after his retirement from previous job ,he is bored to death and seeks to work for free as an Intern for a booming e commerce company. Anne Hathaway and De Niro chemistry wins the heart. It is a feel good mainstream movie featuring two big time movie stars .All the characters are well conceptualized and sketched.This movie also proves that age is not just but a number.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",14 September 2020
senapasin-70223,"More fantastic than Harry Potter I have grown up with a toxic father so Ben is a more fantastic character for me than Harry Potter. Really, have you ever seen such a man over 65 around you? Maybe in America, I don't know.

Also, what actually happens in this movie? What is the story? An incredibly calm, good, modern, kind, good looking, healthy old man who knows everything makes an online shopping company better? Where is the conflict?

Let me tell you this I have worked in big corporates and currently working in a start up. People would eat Ben alive.

Overall, it was an unrealistic feel good movie for me.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",17 August 2021
raccoonongreen,"It depend on your mind. As you get older, your sense of exercise becomes dull, and the relationship between people is diminished. Young people can not understand at all, and the situation that only older people feel is coming at a certain moment.

Looking back, life really went as fast as an arrow.

This film is less realistic, but it seems to have led people to look at retired people from a positive perspective.

Most of the past experiences are no longer needed because of advanced technology, but there may be times when you need a lot of experience and mindfulness at difficult moments. If you have an elderly senior when a difficult situation is happening, will not it be a bad thing?

I feel my heart warming throughout the movie.

PS: Thanks for reading. Please understand that my English is not good. ^^", 5/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",5 December 2017
josharekare,"Nice enough *** Thematic spoilers***

Yes, Robert De Niro is terrific. And that is expected, too. Nothing new there. Also Anne Hathaway is a wonderful actress. Together they are capable of tremendous work. But 'The Intern' aims for much less.

It isn't a bad movie, it is very nice and warm in fact. It took me a while to understand the bar it set itself and once I reconciled my expectations with that bar, I was happy with it. I loved the contrivances and found the movie to be thoroughly enjoyable, too.

But I'm still cognisant of the possibilities. For one, I really really wish Ben Whittaker wasn't a flawless star. He is a seventy year old white man with years of experience running a company. To write the character to be one without any biases (not the objectionable ones at least) or foibles is taking a very simple route. Not just Ben, every one in the movie is sweet, nice, and harmless to the point of being cloying.

Like I said, The Intern doesn't aim too high but I wished there was a little more drama in the proceedings. I wish at least one of the leads would make mistakes, or a situation transpires where tough decisions need to be taken but nothing of that sort occurs.

But even without these elements, it is a great watch for the performances, and the humour, and the smooth direction. And I really liked a point or two that the movie made. Being a 25 year old male, I didn't exactly understand the feminist standpoint initially but it made sense to me later and I appreciated the fact that the movie made me think about it. I can't say much more without giving away the plot but you can try the movie yourself and appreciate what I'm talking about.", 9/10,"1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",7 October 2015
jeandesr,"Great duo Not my style of movie but watching it for the third time right now... De Niro is great and Hathaway is better, other interns are futile and a little over the top. Had they concentrated all in the duo and interactions with others,this would be a 9.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 6/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2 July 2021
ricardoquintas-53314,"The Intern Review A friend of mine who is also a movie lover described this movie in a few simples words "" Why did Robert De Niro do this movie? Normally older actor accept projects they really like""
0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",23 September 2020
bigstickgreg,"A Wonderfully Written and Acted Feel-Good Movie I really enjoyed this movie. The characters were believable real-life people while the theme was light and heartwarming. If you work in the tech industry like I do, you'll appreciate the pros and cons of owning your own tech business and the employee's that you'll need to hire. Mr. DeNiro was exceptional with his acting skills in this flick. He was sincere, steady, and strong in this role as an Intern providing life's experience to a young start-up mom. Ms. Hathaway was also exceptional in this role as I watched her going through the emotional trauma of owning your own business and keeping one's relationship, with husband and daughter, in tact. There were a couple moments where I had a tear in my eye as I could relate to both as an older adult. The funny parts were not overdone and brought a smile to my face. I would recommend this movie for all ages. It's the best movie I've seen this year (2016).
0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 5/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",1 December 2016
imdb-6252,"Mildly entertaining, but zero on the believability index I'm the weird movie watcher. I can watch a movie with a premise that is not totally believable, but certain things can spoil the fantasy we're supposed to believe instantly.

For me, this happened almost instantly where we're taken to this bustling Brooklyn e-commerce business with hundreds of employees at their desk answering calls and looking at email. All on banks and banks of spanking new, perfectly aligned Macs. Come on! Is there a company anywhere on planet earth of this size that would be using Macs like this? Every desktop, every laptop has the Apple logo. When Apple got this opportunity, they must have seriously soiled themselves at the opportunity to have the big screen filled with their products. Have you EVER heard the term ""Let's Netflix a movie tonight""? Little things like this really take me out of the fantasy of a movie.

Otherwise, the movie is kind of cute. The premise of having to break into the mom's house made me think ""Oh... one of those stupid, would never happen in a million years type movies."". You've got a guy like Ben that is supposed to be all proper, dresses well, speaks well, has an immaculate house, and has the proper answer for everything is all of the sudden breaking into mom's house with a bunch of unlikable zit- faced kids. For a 2 hour plus movie, that scene should definitely have been removed.

Lastly, casting, is there anyone that believes a woman like Jules would have a husband like Matt? Anyone? Neat and proper Jules married to a schmo like him? Not believable.

All in all, I'd say I endured this movie. I hated a few things, but DeNiro and Hathaway salvaged an otherwise poorly executed story.", 9/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",13 June 2016
porki_smile1,"Nice and cute Really nice movie. It is a good for just relaxing at home, no unwanted drama or anything. We watched it with my better half, and enjoyed it. There is a ""moral of the story"" , but it is really well put. Also the casting is great.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",26 April 2020
aryawaviz,"Nice drama ever Very nice story with many sweet moments. De Niro and Anne Hathaway made this movie more interesting with their awesome chemistry Love this!
0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",23 February 2019
kevinmanuel-07606,"Excellent Movie!! I had watched the trailer of the movie few years back but happen to watch it today. Lovely piece of work the plot is brilliant and execution is marvellous. Must watch!!!!
1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",13 October 2020
wearethefirstandlastnight,"I didn't care for this film -- -- not due to its technical strengths. The story in three acts is well structured and filmed much like the romantic comedies of 1990-99. What I DIDN'T like about is was, a smart, together business woman -- forming and leading her own successful corporation in New York City -- still relies on the intelligence and wisdom of the elder male. A bit too paternal for my tastes in that way. The relationship between Anne Hathaway and Robert De Niro is tender, sweet -- there is good chemistry there. It would have been interesting and perhaps more topical to EXCHANGE these roles -- watch the impact of the rise of modern feminism depicted in the characters.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10 July 2021
martin-40-727364,"Contrived plot. Dissapointing. Great premise let down by a poor plot and dialogue.
1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",29 December 2018
aserpentperplexed,"Well Acted Movie Bogged Down by Clichés Overall, I quite enjoyed the movie. It's a cute movie about growing old, marriage, and balancing work life with family. It was well acted by DeNiro and Hathaway, and the remaining cast also played their roles well. You laugh, you cry, etc. This movie's cast and writing team alone easily could have earned this a 9/10. But unfortunately while the premise is interesting and the execution is good, by the third act it falls into quite a few clichés and sappy resolutions. If you're not familiar with the genres of the retirement story or the work life balance movie, you'll probably give it an 8 or 9 out of 10. If you are familiar though, the third act will have you rolling your eyes constantly. In particular, there is a climactic scene in which a character who did something very bad gives an apologetic speech to Hathaway. The film earlier built up that this character deserves little respect for what they did, but without even so much as a scolding or a look of anger, the character gives his little apology and receives tearful instant forgiveness to the sound of sappy music. Which reminds me: while the plot got cliché about two thirds of the way into the movie, the MUSIC was cliché throughout. Completely uninspired sappy elevator music typical of this type of movie. But neither of these really made me hate the movie overall, hence I still gave it a rating of 7/10.", 8/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",26 August 2016
alexwebb32,"A lot of good You can tell that this is the same director that did The Holiday - it's got the same magic. Which is why I'm giving it 7 stars. Made me laugh and cry. Good script, though I do feel that the film tries to do more than it has time for. With so much to get through, there are important relationships and characters that the film doesn't have time to make us become invested in.

Perfect casting of the leads. Hathaway and especially De Niro were perfect. Anders Holm, however, was a let down - such an important role to get right, but what we got was a husband with no personality and dead eyes. The ending didn't have the same impact because of this.

I also have to point out the awkward cinematography. I don't know if the DoP or director is to blame, it's weird because they both have great films under their belts. I had to pause the film several times and just stare in amazement at how bad some of the shots were. There were adequate shots, but none that stood out as great.

Finally, I wish the same effort had been put into the score as was put into The Holiday's score.", 5/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",29 May 2021
sachineldho,"Cringe Warning At the beginning, I felt good, but after a while all that cringe came in and ruined everything. Not so feel good movie.
0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",6 June 2021
kajalrani,"Interesting Internship I have been meaning to see this movie since it was released and finally I watched it and it was worth it. The story line is so different. Its so simply and elegantly portrays the life of old people and need of change for them, providing opportunities to them, crediting them for their experience. Its teaches you to be open to change, explore the world but also at the same time be yourself. ""Grey is the new Green"", very well said. I mean the things Ben said, how he dealt with everything was just a phenomenal example to us on how to handle certain situation. The light comedy, and the essence of changing technological world brings life to the movie. One ore thing it teaches you is to have hope, belief in you. Situations change, things become more complex, tension starts to build up but all you need is to have a me time and also talk to the one whom you can trust and who understands and then provides you with an honest and wise advise. Silence speaks for itself and those silent moments in the movie give it a touch of reality. Loved it...
1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 1/10,"1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2 January 2016
xander_laban,"Good movie, meh ending Im not going to spoil the ending for you, but i was very disappointed to say the least..
1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 5/10,"1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",3 April 2020
catnipper40,"A Wonderful Inspirational Film I truly enjoyed this film and found it just when I needed it. Ben's wife passed away some time ago and his return to the workforce reminded me to get up and face the day after my own husband's passing.

I also enjoyed his etiquette which he shared with the young men who were his co-workers. I felt that if Emily Post had a brother, it would be Ben Whittaker. Since the first time I saw this film I've watched it at least 5 more times. Thank you to the cast, crew and their families for making this film possible.
0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 5/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",4 June 2018
nmin-34951,"Stores Nothing Great - if you have nothing to do this Weekend then it's a good option to go for. Movie Review - The Intern - Stores Nothing Great Nancy Meyers has an old hand in making upper middle-age rom-com but this time she casually breezed into seniorities with her latest make 'The Intern'. It's a collage of lighthearted merriment packed with mature actors. The movie is based on cross-generation rendezvous. The movie consists stars like Di Niro and Anne Hathaway, yet it retains the affable tone of Meyer with upper-middle ambiance dedicated the well spruce homes.

The movie embarks with a promise. Ben Whittaker (Robert Di Niro) a 70-year-old widower, applies for a senior internship in an exuberant online fashion retail company held by a very assiduous micro-manger Jules Ostin (Anne Hathaway).The movie has nothing new to showcase, it's just like Meyers previous flicks but with a tint of cross-generation element. Both the actors did justice to the role but it's the story which laids back the movie. Anne Hathaway is quite convincing and looks gorgeous as always. Audience from all genres won't like the movie and if you have nothing to do this weekend then it's a good option to go for. http://www.bollywoodgupshup.net/movie-review-the-intern/", 10/10,"4 out of 12 found this helpful. Was this review helpful? Sign in to vote.
Permalink",25 September 2015
